objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1248184","0","Fredericksburg GIS","4/3/2012 0:00","38.299981","-77.456948","AT&amp;T","WOLFE ST &amp; CAROLINE ST","FREDERICKSBURG","VA","22","40","630","11.772075","0","","0","0","","AT&amp;T","","","","","","","","","","","","","","","","base elevation derived from NED","0"
"1248182","0","Fredericksburg GIS","4/3/2012 0:00","38.303355","-77.483834","","POWHATAN ST","FREDERICKSBURG","VA","22","40","630","44.209625","0","","0","0","","","","","","","","","","","","","","","","","","base elevation derived from NED","0"
"1248183","0","Fredericksburg GIS","4/3/2012 0:00","38.305352","-77.507764","","COWAN BLVD &amp; CARL D SILVER PKWY","FREDERICKSBURG","VA","22","40","630","73.127327","0","","0","0","","","","","","","","","","","","","","","","","","base elevation derived from NED","0"
"1248181","0","Fredericksburg GIS","4/3/2012 0:00","38.275545","-77.485111","","ASHBY ST EXTENDED","FREDERICKSBURG","VA","22","40","630","73.07328","0","","0","0","","","","","","","","","","","","","","","","","","base elevation derived from NED","0"
"1225162","1231652","FCC: Antenna Structure Registration (GIS)","12/15/2011","38.3034","-77.4839","","Corner of Powhatan &amp; Cowan Blvd. (085557)","Fredericksburg","VA","","51","630","44.290622","58.5","","5","","","American Towers, LLC.","","","","","","","","","","","","","","","","",""
"1224479","1045233","FCC: Antenna Structure Registration (GIS)","10/12/2011","38.3054","-77.507799","","1593 CARL D. SILVER PARKWAY","FREDERICKSBURG","VA","","51","630","72.952804","59.4","","5","","","Pinnacle Towers LLC","","","","","","","","","","","","","","","","",""
"1243222","0","FCC: Land Mobile - Private (GIS)","","38.3006","-77.4725","",".2 MILES FROM INTERSECT OF WILLIAM &amp; COLLEGE","FREDERICKSBURG","VA","","51","630","40.63169","14","B","6","","","VIRGINIA, COMMONWEALTH OF/UNIV.OF MARY WASHINGTON","","","","","","","","","","","","","","","","",""
"1242938","0","FCC: Land Mobile - Private (GIS)","","38.3058","-77.5097","","","Fredericksburg","VA","","51","630","73.790283","0","","5","","","Brand Technologies Services LLC","","","","","","","","","","","","","","","","",""
"1242821","0","FCC: Land Mobile - Private (GIS)","","38.2995","-77.4739","","1301 College Ave","Fredericksburg","VA","","51","630","43.138153","22.8","BMAST","7","","","University of Mary Washington","","","","","","","","","","","","","","","","",""
"1242691","0","FCC: Land Mobile - Private (GIS)","","38.2945","-77.5008","","1201 Gateway Boulevard","Fredericksburg","VA","","51","630","72.500579","0","","5","","","HOME DEPOT U.S.A., INC.","","","","","","","","","","","","","","","","",""
"1241979","0","FCC: Land Mobile - Private (GIS)","","38.2936","-77.5097","","","FREDERICKSBURG","VA","","51","630","62.148334","0","","5","","","JCPENNEY CORP INC","","","","","","","","","","","","","","","","",""
"1241901","0","FCC: Land Mobile - Private (GIS)","","38.3039","-77.4769","","","Fredericksburg","VA","","51","630","42.618125","0","","7","","","University of Mary Washington","","","","","","","","","","","","","","","","",""
"1241818","0","FCC: Land Mobile - Private (GIS)","","38.2997","-77.5097","","","Fredericksburg","VA","","51","630","75.599433","0","","5","","","GAP INC","","","","","","","","","","","","","","","","",""
"1241345","0","FCC: Land Mobile - Private (GIS)","","38.2956","-77.513","","3708 PLANK ROAD","FREDERICKSBURG","VA","","51","630","66.157867","0","","","","","Gander Mountain","","","","","","","","","","","","","","","","",""
"1240856","0","FCC: Land Mobile - Private (GIS)","","38.3131","-77.475599","","543 JEFFERSON DAVIS HWY","FREDERICKSBURG","VA","","51","630","20.24571","0","","5","","","BURGER BUSTERS, INC.","","","","","","","","","","","","","","","","",""
"1240285","0","FCC: Land Mobile - Private (GIS)","","38.3119","-77.495","","","Fredericksburg","VA","","51","630","64.186424","0","","","","","Evergreens at Smith Run","","","","","","","","","","","","","","","","",""
"1239661","0","FCC: Land Mobile - Private (GIS)","","38.2983","-77.5119","","","Fredericksburg","VA","","51","630","70.349067","0","","","","","Target Store 772","","","","","","","","","","","","","","","","",""
"1239167","0","FCC: Land Mobile - Private (GIS)","","38.3019","-77.4594","","","FREDERICKSBURG","VA","","51","630","17.45261","0","","3","","","FREDERICKSBURG PUBLIC SCHOOLS","","","","","","","","","","","","","","","","",""
