objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1225274","1237476","FCC: Antenna Structure Registration (GIS)","7/21/2003","38.3295","-77.0251","","17320 Dalhgren Road","Dalhgren","VA","","51","099","3.343585","123.4","","","","","Naval Surface Warfare Center","","","","","","","","","","","","","","","","",""
"1224094","1018957","FCC: Antenna Structure Registration (GIS)","5/10/2012","38.2285","-77.151699","","US 301 AND RT 3","KING GEORGE","VA","","51","099","49.400772","77.7","","5","","","SBC TOWER HOLDINGS LLC","","","","","","","","","","","","","","","","",""
"1224073","1018333","FCC: Antenna Structure Registration (GIS)","5/10/2012","38.3386","-77.0872","","RT 624 &amp; RT 206","OWEN","VA","","51","099","41.182201","46","","5","","","SBC TOWER HOLDINGS LLC","","","","","","","","","","","","","","","","",""
"1224313","1030704","FCC: Antenna Structure Registration (GIS)","2/8/2012","38.3374","-77.0843","","5333 Windsor Drive","King George","VA","","51","099","42.867008","59.7","","5","","","CROWN ATLANTIC COMPANY, LLC","","","","","","","","","","","","","","","","",""
"1224856","1207306","FCC: Antenna Structure Registration (GIS)","12/9/1999","38.2823","-77.1986","","King George Middle School","King George","VA","","51","099","53.065311","92.3","","5","","","Dahlgren Rescue Squad Inc.","","","","","","","","","","","","","","","","",""
"1225265","1236916","FCC: Antenna Structure Registration (GIS)","12/4/2002","38.3295","-77.0252","","NAVAL SURFACE WARFARE CENTER STAR GUAGE ROAD","DAHLGREN","VA","","51","099","3.3882","121.9","","","","","DEPT OF THE NAVY PROGRAM EXECUTIVE OFFICE THEATER SURFACE COMBATANTS C","","","","","","","","","","","","","","","","",""
"1225352","1241702","FCC: Antenna Structure Registration (GIS)","12/19/2007","38.2595","-77.3308","","1183 Kings Highway","King George","VA","","51","099","34.946041","57.9","","5","","","SBA Towers II LLC","","","","","","","","","","","","","","","","",""
"1225022","1221720","FCC: Antenna Structure Registration (GIS)","12/19/2007","38.2552","-77.2694","","Route 3 near Route 605","King George","VA","","51","099","10.168024","76.2","","5","","","SBA Towers Inc.","","","","","","","","","","","","","","","","",""
"1225020","1221717","FCC: Antenna Structure Registration (GIS)","12/19/2007","38.1938","-77.179899","","Route 301, approximately 2 miles from the Rappahannock River","King George","VA","","51","099","17.801996","76.2","","5","","","SBA Towers II LLC","","","","","","","","","","","","","","","","",""
"1225019","1221699","FCC: Antenna Structure Registration (GIS)","12/19/2007","38.3313","-77.0882","","Route 301 near Route 218","King George","VA","","51","099","36.030052","76.2","","5","","","SBA Towers Inc.","","","","","","","","","","","","","","","","",""
