objectid,id,data_source,add_date,lat,lng,structure_name,structure_address,structure_city,structure_st,structure_zip,state_ansi,county_ansi,base_elevation,structure_height,structure_type,owner_type,zoom_level,ip_address,structure_owner_name,structure_owner_address,structure_owner_po_box,structure_owner_city,structure_owner_st,structure_owner_zip,structure_owner_phone,structure_owner_email,structure_manager_name,structure_manager_address,structure_manager_po_box,structure_manager_city,structure_manager_st,structure_manager_zip,structure_manager_phone,structure_manager_email,comments,done
"1223689","1016157","FCC: Antenna Structure Registration (GIS)","9/27/2005","37.4161","-79.1442","","706 CHURCH ST","LYNCHBURG","VA","","51","680","194.847122","68.8","","5","","","Verizon Virginia Inc.","","","","","","","","","","","","","","","","",""
"1224603","1058372","FCC: Antenna Structure Registration (GIS)","8/5/2004","37.3832","-79.1367","","3616 OAK TREE STREET","LYNCHBURG","VA","","51","680","253.440505","39.6","","5","","","United States Cellular Corporation","","","","","","","","","","","","","","","","",""
"1225499","1249914","FCC: Antenna Structure Registration (GIS)","8/30/2005","37.3601","-79.185299","","3506 Wards Road","Lynchburg","VA","","51","680","257.342315","25.5","","2","","","Virginia, Commonwealth of","","","","","","","","","","","","","","","","",""
"1224731","1065923","FCC: Antenna Structure Registration (GIS)","8/23/1999","37.4289","-79.2253","","TWR 4 - IRVINGTON SPRINGS ROAD","LYNCHBURG","VA","","51","680","226.194747","117.6","","5","","","MADISON BROADCASTING GROUP, INC.","","","","","","","","","","","","","","","","",""
"1224730","1065922","FCC: Antenna Structure Registration (GIS)","8/23/1999","37.4286","-79.2236","","TWR 5 - IRVINGTON SPRINGS ROAD","LYNCHBURG","VA","","51","680","234.152435","117.2","","5","","","MADISON BROADCASTING GROUP, INC.","","","","","","","","","","","","","","","","",""
"1224729","1065921","FCC: Antenna Structure Registration (GIS)","8/23/1999","37.4283","-79.2225","","TWR 2 - IRVINGTON SPRINGS ROAD","LYNCHBURG","VA","","51","680","232.697067","117.6","","5","","","MADISON BROADCASTING GROUP, INC.","","","","","","","","","","","","","","","","",""
"1225785","1264510","FCC: Antenna Structure Registration (GIS)","8/2/2008","37.3593","-79.1589","","Monogram Hill","Lynchburg","VA","","51","680","402.082397","29","","5","","","Liberty University, Inc.","","","","","","","","","","","","","","","","",""
"1225878","1268738","FCC: Antenna Structure Registration (GIS)","6/22/2009","37.3591","-79.1587","","Candlers Mountain","Flat Creek District","VA","","51","680","404.139434","29","","5","","","Liberty University, Inc.","","","","","","","","","","","","","","","","",""
"1224711","1064501","FCC: Antenna Structure Registration (GIS)","5/6/2009","37.3833","-79.1372","","OAK STREET","LYNCHBURG","VA","","51","680","255.96231","45.7","","5","","","CROWN ATLANTIC COMPANY LLC","","","","","","","","","","","","","","","","",""
"1223774","1016649","FCC: Antenna Structure Registration (GIS)","5/19/2003","37.4071","-79.2322","","309 Chapel Lane","LYNCHBURG","VA","","51","680","212.760833","105.1","","5","","","HUBBARD'S ADVERTISING AGENCY INC","","","","","","","","","","","","","","","","",""
"1225682","1259877","FCC: Antenna Structure Registration (GIS)","4/14/2011","37.3559","-79.2233","","7619 Timberlake Road  (Old Graves Mill 196468937)","Lynchburg","VA","","51","680","254.56285","45.7","","5","","","Alltel Communications of Petersburg, Inc.","","","","","","","","","","","","","","","","",""
"1223918","1017522","FCC: Antenna Structure Registration (GIS)","4/14/2011","37.4067","-79.2086","","3245 FOREST BROOK RD","LYNCHBURG","VA","","51","680","224.940582","54.9","","5","","","Alltel Communications of Petersburg, Inc.","","","","","","","","","","","","","","","","",""
"1133783","30218","Region2000 project: Website","3/20/2009 9:57","37.634574","-78.995089","Alltel","Buffalo Hill Tusculum","","","","51","680","715.6591187","50","other","Private: Business","16","166.61.231.34","","","","Amherst","VA","24521","","","Alltel","","","","","","","","none","0"
"1133782","30217","Region2000 project: Website","3/20/2009 9:46","37.465883","-79.087314","Nextel Partners Inc","ACSA Watertank Highview  Dr","","","","51","680","721.0167847","86","other","Public: Local","16","166.61.231.34","","","","Madison Heights","VA","24572","","","Nextel Partners Inc/ACSA","","","","","","","","none","0"
